node,UMAP1,UMAP2
368,-1.575749,4.728529
369,1.258743,-2.847031
370,1.573430,-3.040865
371,-2.937894,4.555242
372,-3.242090,4.428227
373,-5.099513,5.156965
374,0.124751,1.400343
375,2.902826,-4.110522
376,2.038363,-3.860639
377,1.640869,-2.389622
378,1.317474,-2.284981
379,1.951019,-3.738178
380,-3.595015,4.484676
381,0.776225,-3.314443
382,-4.837207,5.143260
383,2.668209,-4.164824
384,-3.610881,4.612370
385,-3.847012,4.212680
386,1.583516,-3.517407
387,0.345260,3.893956
388,-3.832448,4.787190
389,-2.954221,4.680734
390,-4.583452,5.113807
391,3.124123,-3.926140
392,-3.348187,4.311797
393,0.520447,-3.281033
394,-3.356498,4.234726
395,1.486176,-3.694163
396,1.867785,-2.811358
397,2.171834,-3.671893
398,-2.854834,3.558424
399,-1.190789,2.623665
400,1.919382,-3.278492
401,-1.422336,4.466416
402,-1.041444,0.907853
403,-1.685838,4.210134
404,-1.629277,1.392837
405,-2.165403,4.740124
406,1.347074,-3.120629
407,-3.182601,3.793894
408,3.509386,-4.215533
409,-0.532584,-0.285850
410,0.175061,3.373740
411,1.748678,-3.080811
412,2.779051,-4.332054
413,-0.033108,1.000186
414,-2.420699,3.525453
415,0.375399,-0.820290
416,3.397972,-5.593030
417,2.623539,-2.802883
418,2.523853,-3.722685
419,2.938317,-5.353287
420,-3.398055,4.389638
421,1.070225,-2.886388
422,3.182925,-4.119287
423,2.629264,-3.890080
424,2.212401,-3.589166
425,-3.581716,4.672809
426,1.994524,-3.999563
427,1.858404,-3.160834
428,-3.627201,4.493470
429,0.031860,-2.939135
430,-3.345331,3.593666
431,0.852168,5.094311
432,2.814451,-3.283226
433,2.342504,-3.954967
434,0.240044,5.375546
435,2.876267,-3.259200
436,1.894568,-4.482619
437,-3.630643,4.226287
438,0.737052,5.072456
439,-3.421108,4.048698
440,1.664803,-3.043987
441,2.027652,-3.242489
442,-0.942852,2.656177
443,-1.890038,2.681904
444,2.063582,-2.724788
445,3.404156,-5.662732
446,-3.240695,5.083043
447,1.018990,-1.218137
448,3.304058,-4.395571
449,-0.913379,2.547115
450,-3.488112,4.126729
451,0.459799,-3.142864
452,1.156392,5.802096
453,0.425358,4.520659
454,0.793108,-1.189611
455,2.047521,-4.751173
456,-3.392625,4.123641
457,3.916308,-4.119765
458,2.542080,-4.599711
459,0.980018,-3.849766
460,1.835116,-3.422408
461,-3.514994,4.473331
462,1.740479,-5.190667
463,0.793582,5.514361
464,1.433553,-2.965710
465,2.273469,-2.804275
466,2.122364,-3.986573
467,1.436304,-4.018466
468,1.378236,-4.739621
469,0.210426,-3.358229
470,-0.384987,0.338999
471,-1.019780,1.302192
