node,UMAP1,UMAP2
89,-265.665683,-74.543265
90,-336.712204,-95.536222
91,234.921207,-11.994148
92,271.484325,108.955792
93,-273.855563,36.426986
94,146.411147,-219.467549
95,250.708840,98.307841
96,279.128849,17.298224
97,-295.315103,46.997633
98,112.113803,5.556804
99,372.752882,78.533935
100,-148.852359,122.126259
101,-98.044509,24.690371
102,275.884362,40.548414
103,-50.383151,161.850812
104,288.071066,-10.786691
105,-83.871977,33.571035
106,245.164330,171.747081
107,-254.295157,-54.823305
108,253.190296,13.286793
109,-162.709453,91.712439
110,258.068638,-17.220809
111,304.385722,47.992272
112,246.463646,-7.307195
113,141.489310,-243.438499
114,-137.275919,110.935956
115,-152.771189,53.509308
116,-179.554792,-7.251068
117,138.179970,142.425817
118,-127.642122,-159.625648
119,226.887697,4.888243
120,224.685680,21.715796
121,361.570542,107.059455
122,-301.729703,-83.393495
123,316.913669,74.229237
124,-175.465936,-106.866973
125,-110.523387,81.625174
126,269.862315,-44.804199
127,268.910966,7.296117
128,-208.203917,29.654311
129,-199.023446,53.334882
130,-94.871910,-45.947884
131,-48.016737,148.665154
132,181.752055,-102.630549
133,362.479744,-12.136270
134,-244.713756,-10.260327
135,-63.214117,-74.789110
136,-73.683945,12.001856
137,23.771323,64.414912
138,-243.914087,16.420264
139,170.017692,-102.178830
140,-151.969347,-81.552187
141,301.655798,75.586155
142,138.427841,-180.236396
143,-140.891934,177.962538
144,-28.170474,-3.570883
145,-121.166523,93.515343
146,-180.497219,-54.435997
147,-298.280292,-46.889286
148,176.812294,160.371861
149,396.516806,-33.560143
150,-293.617121,22.612389
151,108.393683,-193.914422
152,226.103987,183.434906
153,-134.836455,3.915883
154,-100.890094,105.204449
155,-234.384550,93.863196
156,-72.142696,48.097239
157,-312.258973,-70.379359
158,233.589414,94.344817
159,241.019127,64.454765
160,337.708817,-40.518828
161,225.563040,-36.531752
162,364.759335,98.698994
163,-221.494139,87.998385
164,-198.837705,104.305969
165,232.520948,-30.048926
166,-261.585354,18.230589
167,171.309442,-213.500824
168,323.833711,92.364715
169,-5.704096,149.814534
170,-83.704160,171.886328
171,-276.471246,-44.128384
172,-256.269579,156.510892
173,213.264956,99.290063
174,-286.914322,-15.337505
175,-133.769134,49.352556
176,-115.442248,56.745056
177,-173.232497,45.816550
178,203.360184,110.414508
179,-240.547136,64.803473
180,-97.556263,54.365803
181,174.304882,-193.236691
182,293.399618,39.372937
183,77.962771,-162.879012
184,-229.135250,-93.394885
185,-136.351811,-43.410700
186,-167.364408,64.970087
187,-142.104050,-13.622395
188,-262.287119,-91.804148
189,-151.626706,-28.231133
190,144.013925,-263.077177
191,-177.955909,71.828592
192,143.715205,-190.149959
193,106.852227,-179.318969
194,-295.405620,-28.151477
195,-170.638915,-21.743935
196,-172.503347,-71.431604
197,372.372855,28.025498
198,162.819743,-188.589221
199,229.839935,172.144448
200,364.525443,1.380507
201,253.666207,0.251881
202,-75.815226,130.372121
203,227.807659,135.591201
204,-56.974401,26.491441
205,278.934439,-53.791891
206,-69.948261,25.754341
207,-196.431862,-122.878183
208,-283.878960,-61.183741
209,198.175991,-14.040432
210,-343.716609,-48.192385
211,364.889487,-24.388337
212,278.533592,56.387942
213,95.317469,-183.684998
214,132.152683,-203.525056
215,171.771889,-226.760226
