node,UMAP1,UMAP2
376,-3.582565,1.890937
377,-6.078958,3.244067
378,-5.487694,3.732196
379,-2.390550,2.757671
380,6.509105,-6.241566
381,-6.618365,1.887766
382,4.147956,-6.690520
383,-1.291024,2.250763
384,5.629775,-5.571387
385,3.946875,-4.277233
386,-4.260372,5.818886
387,6.306318,2.706575
388,4.063814,-5.272951
389,4.629161,-5.263037
390,4.441642,-6.944128
391,-2.978028,3.426905
392,5.057324,-6.544043
393,-4.609783,1.077939
394,4.791233,-4.722953
395,-2.641486,0.565379
396,-1.620107,3.098628
397,-3.120421,2.537944
398,4.628892,-5.699245
399,-5.418904,-2.192024
400,-4.772933,1.957023
401,6.053866,-2.677318
402,-4.077752,-0.644320
403,5.923421,-2.590520
404,-4.293473,-0.972677
405,4.501301,-4.899355
406,-2.950685,0.681598
407,6.188301,-5.287720
408,-2.669967,3.787436
409,-3.317706,0.022232
410,6.379612,2.378375
411,-3.681563,2.319614
412,-3.617153,3.618946
413,6.214973,1.821425
414,5.342514,-4.506831
415,-3.840856,2.474249
416,-8.271257,0.468543
417,-2.982180,4.380313
418,-3.168436,3.911210
419,0.465366,2.347040
420,4.859285,-5.076656
421,-4.753512,2.009076
422,-2.360340,3.049991
423,-1.127821,4.095518
424,-4.025577,2.582150
425,5.404320,-6.280316
426,-1.368072,1.474558
427,-5.243776,3.193775
428,4.976922,-5.760572
429,-6.033475,1.914173
430,-8.169247,-4.885788
431,-5.256810,-3.729599
432,-1.903577,-1.337692
433,-3.026817,2.651297
434,6.220613,2.825286
435,-3.589560,3.006154
436,-2.649599,0.676167
437,5.160333,-6.601321
438,5.996608,2.935449
439,5.815101,-6.932027
440,-1.041747,-0.728356
441,-4.909756,4.521979
442,6.331282,1.773577
443,4.423370,-1.949130
444,-3.865696,2.742510
445,-3.619805,3.497908
446,-3.903121,-0.832689
447,-6.157272,3.498141
448,-2.138155,2.963125
449,4.107306,-3.505383
450,5.247107,-6.639228
451,-5.836608,3.187700
452,5.618757,3.120206
453,6.029248,3.056332
454,-4.336335,-0.327787
455,-2.843797,0.327421
456,5.745849,-7.831778
457,-3.610261,3.220525
458,-3.774295,3.563606
459,-6.134313,4.804251
460,-4.564966,2.905723
461,4.789101,-4.519063
462,-6.144696,0.216206
463,5.912182,3.002820
464,-3.048656,0.821654
465,-5.297660,4.381956
466,-2.750080,2.529567
467,-1.019074,5.017703
468,-2.277694,0.850551
469,-5.911576,2.346550
470,-3.776385,1.517286
471,-4.850783,-0.249215
472,5.801819,3.050709
473,5.042969,-6.351598
474,-3.655509,-0.171883
475,-3.401098,0.796744
476,-4.118403,-1.136797
477,-4.758026,6.196244
478,4.807429,-6.674129
479,5.510278,-7.264484
480,-0.011141,9.255181
481,-3.712137,3.447728
482,-3.840972,2.392092
483,3.761481,-5.547807
484,4.651064,-4.170683
485,-2.198711,2.046150
486,-3.824398,1.763950
487,6.062598,0.454499
488,5.873797,3.074975
489,4.041705,-4.414836
490,5.099304,-4.412290
491,6.198149,2.780057
492,4.448087,-5.620616
493,-5.931743,3.008191
494,-5.033711,2.626969
495,-2.379954,2.923873
496,5.604440,1.082423
497,6.322206,2.708807
498,6.080152,0.305003
499,-0.010969,9.255515
500,-4.024224,2.832170
501,5.345437,-5.474362
502,-6.000923,2.093689
503,-3.181761,4.087692
504,6.297940,2.259780
505,5.821897,-5.409064
506,-6.188137,1.894684
507,6.079607,0.405985
508,-4.208233,5.112218
509,4.737655,-4.301346
510,4.555808,-1.724909
511,4.643506,-5.878187
512,-4.954085,3.764876
513,-1.190890,3.583470
514,-4.224962,1.897099
515,-4.623927,4.675758
516,-3.712872,1.928035
517,-4.609894,2.974455
518,-3.268829,3.564862
519,-3.176566,0.019221
520,-5.326369,2.426436
521,-4.575483,2.597763
522,5.015999,0.667976
523,-3.887607,-0.425520
524,7.846081,0.788808
525,-3.500180,2.573370
526,5.206841,-6.101509
527,-5.730784,2.595655
528,-3.785736,0.069883
529,5.408077,-7.252814
530,0.739853,0.420479
531,2.962422,-3.819879
532,-3.087233,4.161845
